MANDT,PERNR,BEGDA,ENDDA,SEQNR,MASSN,MASSN_TEXT,MASSG,MASSG_TEXT,STAT2,STAT2_TEXT
100,00000001,2008-01-24,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000001,2009-09-08,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000002,2014-12-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000003,2008-02-19,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000004,2014-02-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000004,2016-10-15,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000005,2005-09-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000006,2025-07-08,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000007,2001-01-25,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000008,2016-06-09,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000008,2019-07-30,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000009,2020-02-03,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000010,2014-06-20,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000010,2015-08-03,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000011,2009-09-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000012,2025-02-18,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000013,2013-10-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000014,2013-11-08,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000015,2007-04-28,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000015,2009-02-05,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000016,2023-11-27,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000017,2006-06-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000018,2019-10-21,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000018,2022-11-05,9999-12-31,001,12,Transfer,05,Internal Transfer,3,Active
100,00000019,2007-03-15,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000020,2019-04-22,9999-12-31,000,01,Hiring,01,New Employee,3,Active
100,00000008,2023-06-30,9999-12-31,002,10,Termination,10,Resignation,0,Inactive
