MANDT,PERNR,BEGDA,ENDDA,SEQNR,BUKRS,BUKRS_TEXT,WERKS,WERKS_TEXT,BTRTL,PERSG,PERSG_TEXT,PERSK,PERSK_TEXT,KOSTL,ORGEH,PLANS,ABKRS,ABKRS_TEXT
100,00000001,04/27/2007 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000002,06/13/2012 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000003,02/07/2004 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000004,04/21/2019 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000004,50000004,60000004,MO,Monthly
100,00000005,07/21/2012 00:00:00,12/31/9999 00:00:00,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,,50000005,60000005,SM,Semi-Monthly
100,00000006,03/09/2024 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000007,04/24/1999 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000008,09/09/2018 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000009,10/13/2021 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000004,50000004,60000004,MO,Monthly
100,00000010,04/05/2014 00:00:00,12/31/9999 00:00:00,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,30000005,50000005,60000005,SM,Semi-Monthly
100,00000011,08/03/2010 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000012,02/05/2019 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000013,11/14/2010 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000014,07/13/2014 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000004,50000004,60000004,MO,Monthly
100,00000015,09/09/2013 00:00:00,12/31/9999 00:00:00,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,30000005,50000005,60000005,SM,Semi-Monthly
100,00000016,01/22/2024 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000017,11/18/2002 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000018,11/11/2022 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000019,05/14/2005 00:00:00,12/31/9999 00:00:00,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000004,50000004,60000004,MO,Monthly
100,00000020,08/01/2013 00:00:00,12/31/9999 00:00:00,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,30000005,50000005,60000005,SM,Semi-Monthly
