PA0000_MANDT,PA0000_PERNR,PA0000_BEGDA,PA0000_ENDDA,PA0000_SEQNR,PA0000_MASSN,PA0000_MASSN_TEXT,PA0000_MASSG,PA0000_MASSG_TEXT,PA0000_STAT2,PA0000_STAT2_TEXT,PA0001_MANDT,PA0001_PERNR,PA0001_BEGDA,PA0001_ENDDA,PA0001_SEQNR,PA0001_BUKRS,PA0001_BUKRS_TEXT,PA0001_WERKS,PA0001_WERKS_TEXT,PA0001_BTRTL,PA0001_PERSG,PA0001_PERSG_TEXT,PA0001_PERSK,PA0001_PERSK_TEXT,PA0001_KOSTL,PA0001_ORGEH,PA0001_PLANS,PA0001_ABKRS,PA0001_ABKRS_TEXT
100,00000002,2014-12-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000002,2012-06-13,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000003,2008-02-19,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000003,2004-02-07,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000006,2025-07-08,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000006,2024-03-09,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000007,2001-01-25,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000007,1999-04-24,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000012,2025-02-18,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000012,2019-02-05,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000013,2013-10-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000013,2010-11-14,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000003,50000003,60000003,MO,Monthly
100,00000017,2006-06-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000017,2002-11-18,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000002,50000002,60000002,MO,Monthly
100,00000019,2007-03-15,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000019,2005-05-14,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB20,1,Active Employee,U2,Salaried Staff,30000004,50000004,60000004,MO,Monthly
100,00000020,2019-04-22,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000020,2013-08-01,9999-12-31,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,30000005,50000005,60000005,SM,Semi-Monthly
100,00000001,2008-01-24,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000001,2007-04-27,9999-12-31,000,1000,UK Operations,GB01,London HQ,GB10,1,Active Employee,U1,Salaried Staff,30000001,50000001,60000001,MO,Monthly
100,00000010,2014-06-20,9999-12-31,000,01,Hiring,01,New Employee,3,Active,100,00000010,2014-04-05,9999-12-31,000,2000,US Operations,US01,New York,US10,1,Active Employee,U3,Salaried Staff,30000005,50000005,60000005,SM,Semi-Monthly
100,00000005,2005-09-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000008,2016-06-09,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000014,2013-11-08,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000015,2007-04-28,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000004,2014-02-07,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000016,2023-11-27,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000018,2019-10-21,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000009,2020-02-03,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
100,00000011,2009-09-04,9999-12-31,000,01,Hiring,01,New Employee,3,Active,,,,,,,,,,,,,,,,,,,
